AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
-204.938995,-522.319458,1340.286255,-414.900726,-528.624207,1412.191528,-172.721863,-224.252350,1131.990479,-415.928680,-219.436020,1210.972046,-197.477280,150.777100,1200.204224,-362.514557,157.841919,1190.788452,0
-353.658905,-510.876312,1296.634033,-430.121429,-501.629822,1405.071167,-277.883301,-201.587601,1147.549927,-402.147919,-195.549484,1226.816895,-191.803192,153.628845,1189.600342,-350.582184,165.731705,1183.429565,0
-383.256165,-527.050842,1133.232544,-143.648865,-510.121338,975.377747,-399.093750,-191.565231,1226.182495,-168.457870,-196.928223,1134.450562,-358.928741,167.821487,1179.375854,-201.843948,160.821625,1194.260742,0
-410.203888,-523.855713,1215.866089,-133.637817,-434.326416,897.989441,-397.963074,-181.947372,1226.770264,-165.601776,-187.793152,1138.505249,-358.867828,170.812927,1178.621216,-204.656921,163.508636,1193.933960,0
-409.254150,-521.984497,1233.422607,-117.692352,-335.663086,831.048767,-390.897522,-182.312271,1222.430664,-165.369080,-186.331757,1137.172974,-356.588623,169.713654,1180.890747,-203.003372,162.895782,1193.527588,0
-421.252472,-552.756897,1245.170776,-137.060318,-413.939606,849.302917,-399.543365,-196.702972,1229.547974,-165.556259,-199.871628,1138.351440,-363.515076,172.588867,1185.834106,-202.195282,166.827148,1197.298340,0
-421.308289,-550.992065,1277.159180,-76.523407,-332.138397,817.313782,-400.109192,-196.306625,1243.950562,-163.877853,-202.373886,1142.241211,-364.583130,170.659683,1184.702393,-203.469864,164.388718,1197.508301,0
-414.047302,-565.884094,1271.405762,-119.292458,-288.415741,788.834717,-396.661224,-204.321045,1243.376953,-165.040558,-209.811172,1144.266846,-366.325195,170.248611,1187.707397,-202.469437,163.504349,1201.239990,0
-415.455536,-565.935852,1271.245239,-117.921646,-289.844696,789.638428,-397.419434,-204.397034,1243.262939,-165.107285,-210.013275,1144.613159,-366.335144,170.130295,1187.692749,-202.476501,163.370483,1201.204834,0
-421.687012,-569.353760,1256.814087,-150.843582,-425.801147,844.338318,-402.277710,-206.121445,1237.086426,-165.956024,-211.100250,1142.977417,-367.042664,170.457153,1189.747437,-202.429321,163.532562,1200.434326,0
-203.401871,-495.912079,1395.771362,-359.495483,-563.398560,1327.878052,-170.253311,-219.905869,1159.648560,-365.861542,-224.450943,1183.240845,-191.873901,158.998032,1199.875000,-356.772156,156.640259,1188.463257,0
-201.406738,-493.188507,1397.599487,-361.026978,-564.460327,1306.416992,-177.065033,-222.440887,1152.783813,-360.621246,-227.142227,1155.161499,-187.202316,156.750397,1204.164673,-351.070465,154.372833,1179.005493,0
-199.410904,-485.206238,1397.392334,-469.157288,-491.674500,1468.710815,-167.842987,-215.359222,1151.508301,-402.921722,-216.110672,1230.404053,-185.840454,163.263275,1209.241821,-350.630859,161.015152,1188.719849,0
