AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,HipLeftX,HipLeftY,HipLefttZ,HipRightX,HipRightY,HipRightZ,timestamp
125.477928,-603.744873,1263.988647,-150.571564,-603.708496,1206.804321,135.042084,-254.306015,1125.376587,-110.386024,-253.030502,1066.045166,132.243790,135.471695,1071.578247,-38.174099,133.279083,1072.828735,052020
125.256287,-601.905640,1260.419312,-148.350891,-601.916443,1202.759766,136.474075,-253.606354,1121.942505,-107.722519,-251.099472,1065.410645,133.839828,135.309067,1070.050781,-36.106503,134.204941,1071.352173,052020
125.670776,-600.832275,1259.408936,-150.852478,-596.806030,1202.951904,138.212570,-252.553696,1124.671021,-106.243912,-250.315689,1059.714966,134.828873,134.392395,1068.846191,-34.488934,133.391388,1071.815430,052020
125.513855,-599.805969,1258.774658,-146.810684,-598.431946,1204.744751,137.057037,-252.024292,1122.849487,-103.567467,-250.770630,1064.123779,135.231018,134.870438,1067.072998,-34.045654,133.416077,1070.482910,052020
127.971115,-596.747131,1255.905273,-146.726685,-596.062134,1200.988647,137.366440,-249.751694,1123.210938,-104.806290,-249.350540,1062.943237,136.721024,134.527237,1063.765747,-31.643629,132.098007,1067.774170,052020
127.126518,-597.518616,1255.304321,-146.442291,-596.498474,1201.506348,137.257629,-249.865433,1122.278320,-104.514687,-249.388199,1062.400513,136.801254,135.098495,1062.116943,-31.876188,132.959656,1067.302246,052020
130.959869,-596.468628,1255.074097,-142.679352,-596.315002,1202.973022,139.109985,-249.766129,1119.115723,-103.280670,-249.136475,1062.961670,137.337402,135.440277,1059.693848,-31.317457,133.480545,1067.057251,052020
128.637314,-596.227112,1254.112061,-141.277084,-595.337891,1201.585083,139.076187,-249.427353,1119.694092,-99.867882,-248.251801,1063.050293,138.887985,135.027802,1058.239990,-29.588480,134.253738,1065.631348,052020
128.926315,-594.225037,1251.566040,-145.483078,-593.047729,1197.535522,139.999405,-249.136292,1117.739868,-101.414589,-247.921555,1059.824951,138.715240,133.027328,1053.890137,-28.926815,132.270752,1061.773315,052020
129.137939,-593.648315,1251.819336,-144.896530,-591.633667,1195.350464,139.201279,-249.341705,1115.640747,-101.570862,-247.568314,1054.508667,140.016037,133.253708,1053.760010,-27.670223,132.396729,1061.664551,052020
132.605865,-592.782471,1250.788208,-143.668076,-589.246155,1185.636719,142.450653,-249.550980,1110.971924,-101.934151,-246.553345,1040.101807,142.972473,133.852859,1051.848267,-24.811312,132.641449,1060.933594,052020
129.836655,-588.511963,1250.849487,-143.752884,-584.619812,1179.096313,139.201416,-248.103561,1105.910645,-105.361504,-244.179764,1029.108276,144.541870,135.206818,1051.022095,-22.970896,132.573715,1059.342163,052020
126.659157,-588.900146,1250.182251,-145.324402,-584.523071,1173.417358,142.087021,-248.828781,1104.733887,-104.833366,-244.959503,1021.769043,147.361923,134.761444,1051.120850,-20.228382,130.860565,1058.129761,052020
127.724113,-588.551514,1248.861816,-150.975174,-578.784912,1163.863525,141.274323,-249.545547,1102.032227,-110.810661,-242.371964,1006.474854,146.633057,133.665405,1049.547852,-20.767122,130.151047,1055.777954,052020
127.856644,-589.098572,1247.902710,-150.879349,-580.299500,1164.250610,139.675705,-250.911407,1098.553589,-111.176849,-243.845062,1006.354675,145.885040,132.862137,1048.802856,-21.616146,129.146088,1054.625122,052020
125.897346,-588.256409,1246.569580,-147.685471,-583.246582,1170.987793,140.705566,-251.322510,1094.922119,-109.273956,-246.082397,1014.534607,143.910156,132.399002,1045.307617,-23.550886,129.019196,1051.172485,052020
126.963112,-584.693665,1243.947998,-144.390579,-583.897827,1177.012451,137.001953,-248.374008,1091.076172,-107.680023,-245.419479,1023.536316,140.620468,135.149689,1041.718628,-26.679277,131.419922,1049.010864,052020
127.638992,-582.326538,1245.928467,-145.825058,-586.354248,1182.326050,138.615417,-249.524475,1082.938477,-105.870293,-247.589661,1027.431030,139.946411,136.239349,1042.098022,-27.871120,131.373032,1048.950439,052020
129.781860,-587.057129,1246.912109,-147.081619,-593.373657,1192.706909,138.317825,-251.955307,1084.916504,-107.868439,-250.099365,1043.826782,136.181198,135.176178,1041.512817,-32.354275,131.612259,1048.984131,052020
130.535019,-586.534119,1244.647827,-145.389694,-594.595337,1193.918335,135.517609,-251.387543,1083.957886,-109.060493,-249.926895,1049.089600,135.957672,135.419815,1043.239014,-32.241714,130.920654,1051.676147,052020
